Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-04-15,26253,26244,2026-04-13,2026-04-20,86.801,87.05,0.28686305457310546,0.9316526655278268,,,
A_Auctions,2026-04-15,26253,26245,2026-04-13,2026-04-20,88.761,89.6,0.9452349567940832,0.9316526655278268,,,
A_Auctions,2026-04-15,26253,26249,2026-04-13,2026-04-20,88.05,88.849,0.9074389551391393,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26230,2026-04-13,2026-04-20,62.473,63.422,1.5190562322923373,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26238,2026-04-13,2026-04-20,59.23,59.858,1.060273510045584,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26240,2026-04-13,2026-04-20,62.109,62.65,0.8710492843227113,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26244,2026-04-13,2026-04-20,86.801,87.05,0.28686305457310546,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26245,2026-04-13,2026-04-20,88.761,89.6,0.9452349567940832,0.9316526655278268,,,
A_Auctions,2026-04-15,26244,26249,2026-04-13,2026-04-20,88.05,88.849,0.9074389551391393,0.9316526655278268,,,
A_Auctions,2026-04-22,26245,26230,2026-04-20,2026-04-27,63.422,62.991,-0.6795749109141935,-0.8874176683452619,,,
A_Auctions,2026-04-22,26245,26238,2026-04-20,2026-04-27,59.858,58.771,-1.8159644491964277,-0.8874176683452619,,,
A_Auctions,2026-04-22,26245,26240,2026-04-20,2026-04-27,62.65,61.989,-1.0550678371907485,-0.8874176683452619,,,
